TSM,Date,Close,,Trade DATE
,3/2/2015,24.63,,3/2/2015
,3/3/2015,24.5,,5/11/2019
,3/4/2015,24.33,,
,3/5/2015,24.46,,
,3/6/2015,24.09,,
,3/9/2015,23.45,,
,3/10/2015,23.05,,
,3/11/2015,23.49,,
,3/12/2015,23.53,,
,3/13/2015,23.88,,
,3/16/2015,24.28,,
,3/17/2015,24.31,,
,3/18/2015,24.71,,
,3/19/2015,24.66,,
,3/20/2015,24.77,,
,3/23/2015,24.8,,
,3/24/2015,24.5,,
,3/25/2015,23.18,,
,3/26/2015,23.2,,
,3/27/2015,22.94,,
,3/30/2015,23.25,,
,3/31/2015,23.48,,
,4/1/2015,23.23,,
,4/2/2015,23.69,,
,4/6/2015,23.54,,
,4/7/2015,23.39,,
,4/8/2015,23.2,,
,4/9/2015,23.44,,
,4/10/2015,23.5,,
,4/13/2015,23.33,,
,4/14/2015,23.18,,
,4/15/2015,23.51,,
,4/16/2015,23.24,,
,4/17/2015,23.22,,
,4/20/2015,23.27,,
,4/21/2015,23.33,,
,4/22/2015,23.84,,
,4/23/2015,24.3,,
,4/24/2015,24.91,,
,4/27/2015,25.41,,
,4/28/2015,25.01,,
,4/29/2015,24.79,,
,4/30/2015,24.44,,
,5/1/2015,24.74,,
,5/4/2015,24.32,,
,5/5/2015,24.29,,
,5/6/2015,24.45,,
,5/7/2015,24.37,,
,5/8/2015,24.55,,
,5/11/2015,24.37,,
,5/12/2015,24.38,,
,5/13/2015,24.44,,
,5/14/2015,24.41,,
,5/15/2015,24.56,,
,5/18/2015,24.41,,
,5/19/2015,24.59,,
,5/20/2015,24.58,,
,5/21/2015,24.24,,
,5/22/2015,24.2,,
,5/26/2015,24.26,,
,5/27/2015,24.6,,
,5/28/2015,24.45,,
,5/29/2015,24.28,,
,6/1/2015,24.14,,
,6/2/2015,23.67,,
,6/3/2015,23.66,,
,6/4/2015,22.98,,
,6/5/2015,22.86,,
,6/8/2015,22.65,,
,6/9/2015,22.83,,
,6/10/2015,23.33,,
,6/11/2015,23.51,,
,6/12/2015,23.67,,
,6/15/2015,23.26,,
,6/16/2015,23.58,,
,6/17/2015,23.6,,
,6/18/2015,23.76,,
,6/19/2015,23.4,,
,6/22/2015,23.84,,
,6/23/2015,23.93,,
,6/24/2015,23.9,,
,6/25/2015,24.08,,
,6/26/2015,23.63,,
,6/29/2015,22.38,,
,6/30/2015,22.71,,
,7/1/2015,22.93,,
,7/2/2015,23.15,,
,7/6/2015,22.94,,
,7/7/2015,22.96,,
,7/8/2015,22.23,,
,7/9/2015,22.22,,
,7/10/2015,22.57,,
,7/13/2015,22.86,,
,7/14/2015,22.8,,
,7/15/2015,22.56,,
,7/16/2015,22.73,,
,7/17/2015,23.03,,
,7/20/2015,22.9,,
,7/21/2015,22.88,,
,7/22/2015,22.22,,
,7/23/2015,22.31,,
,7/24/2015,21.64,,
,7/27/2015,21.63,,
,7/28/2015,21.88,,
,7/29/2015,22.11,,
,7/30/2015,22.7,,
,7/31/2015,22.11,,
,8/3/2015,21.72,,
,8/4/2015,21.45,,
,8/5/2015,21.61,,
,8/6/2015,21.28,,
,8/7/2015,21.03,,
,8/10/2015,21.61,,
,8/11/2015,20.83,,
,8/12/2015,20.75,,
,8/13/2015,20.54,,
,8/14/2015,20.38,,
,8/17/2015,20.28,,
,8/18/2015,20.03,,
,8/19/2015,19.91,,
,8/20/2015,19.61,,
,8/21/2015,18.88,,
,8/24/2015,18.76,,
,8/25/2015,18.76,,
,8/26/2015,19.45,,
,8/27/2015,19.94,,
,8/28/2015,20,,
,8/31/2015,19.88,,
,9/1/2015,19.41,,
,9/2/2015,19.94,,
,9/3/2015,20.07,,
,9/4/2015,19.67,,
,9/8/2015,20.05,,
,9/9/2015,19.88,,
,9/10/2015,19.7,,
,9/11/2015,19.9,,
,9/14/2015,20.04,,
,9/15/2015,20.39,,
,9/16/2015,20.67,,
,9/17/2015,20.66,,
,9/18/2015,20.61,,
,9/21/2015,20.53,,
,9/22/2015,19.95,,
,9/23/2015,20.01,,
,9/24/2015,19.99,,
,9/25/2015,20.05,,
,9/28/2015,19.63,,
,9/29/2015,19.89,,
,9/30/2015,20.75,,
,10/1/2015,20.86,,
,10/2/2015,20.76,,
,10/5/2015,21.4,,
,10/6/2015,21.23,,
,10/7/2015,21.93,,
,10/8/2015,22.25,,
,10/9/2015,21.95,,
,10/12/2015,22.09,,
,10/13/2015,21.94,,
,10/14/2015,22.34,,
,10/15/2015,21.95,,
,10/16/2015,22.16,,
,10/19/2015,22.23,,
,10/20/2015,22.31,,
,10/21/2015,22.22,,
,10/22/2015,22.51,,
,10/23/2015,22.47,,
,10/26/2015,22.16,,
,10/27/2015,22.2,,
,10/28/2015,22.08,,
,10/29/2015,21.82,,
,10/30/2015,21.96,,
,11/2/2015,22.1,,
,11/3/2015,22.77,,
,11/4/2015,23.55,,
,11/5/2015,22.98,,
,11/6/2015,22.82,,
,11/9/2015,22.96,,
,11/10/2015,22.51,,
,11/11/2015,22.58,,
,11/12/2015,22.24,,
,11/13/2015,21.89,,
,11/16/2015,22.35,,
,11/17/2015,22.52,,
,11/18/2015,22.52,,
,11/19/2015,22.67,,
,11/20/2015,22.83,,
,11/23/2015,22.57,,
,11/24/2015,22.5,,
,11/25/2015,22.56,,
,11/27/2015,22.45,,
,11/30/2015,22.76,,
,12/1/2015,23.28,,
,12/2/2015,23.19,,
,12/3/2015,22.93,,
,12/4/2015,23.31,,
,12/7/2015,23.24,,
,12/8/2015,23.08,,
,12/9/2015,22.73,,
,12/10/2015,22.65,,
,12/11/2015,22.18,,
,12/14/2015,22.22,,
